shortlist_group,question_id,question_type,domain,category,subcategory,pillar,item,question_text_ko,question_text_vi,answer_type,unit,framework_refs,forbidden_rule,must_return_insufficient_if_missing,notes,status
shortlist_qualitative,QL-001,qualitative,General,ESG management,,Strategy,ESG vision and mid-long term strategy,회사의 ESG 비전 및 중장기 전략은 무엇인가요?,Cong ty mo ta tam nhin ESG va chien luoc trung dai han nhu the nao?,long_text,,"","Khong duoc sao chep nguyen van dai dong neu tai lieu chi co mot khau hieu mo ho",true,"Giu lai de dai dien strategic narrative tong",shortlist_draft
shortlist_qualitative,QL-003,qualitative,General,ESG management,,Risk Management,ESG risk identification and management,회사는 ESG 리스크를 어떻게 식별하고 관리하나요?,Cong ty nhan dien va quan ly rui ro ESG nhu the nao?,long_text,,"","Khong duoc tra loi bang tu khoa chung chung neu tai lieu co quy trinh cu the",true,"Giu lai de dai dien enterprise ESG risk framing",shortlist_draft
shortlist_qualitative,QL-004,qualitative,Social,Safety and health,,Strategy,Safety and health policy,안전보건 정책 및 목표는 무엇인가요?,Cong ty mo ta chinh sach va muc tieu an toan suc khoe nghe nghiep nhu the nao?,long_text,,"","Khong duoc chi tra loi 'tuan thu phap luat' neu tai lieu con co muc tieu quan tri noi bo",true,"Giu lai de dai dien safety strategy",shortlist_draft
shortlist_qualitative,QL-006,qualitative,Social,Safety and health,,Risk Management,Industrial safety risk prevention,산업안전 리스크를 어떻게 식별하고 예방하나요?,Cong ty nhan dien va phong ngua rui ro an toan lao dong nhu the nao?,long_text,,"","Khong duoc tra loi bang chinh sach neu cau hoi yeu cau hoat dong quan ly rui ro",true,"Giu lai de dai dien safety risk control",shortlist_draft
shortlist_qualitative,QL-008,qualitative,Social,Labor and human rights,,Governance,Labor and human rights management,노동 및 인권 관리 체계는 어떻게 운영되나요?,He thong quan ly lao dong va nhan quyen duoc to chuc va van hanh ra sao?,long_text,,"","Khong duoc bo qua co che grievance neu tai lieu co de cap",true,"Giu lai de dai dien HR governance",shortlist_draft
shortlist_qualitative,QL-009,qualitative,Social,Information security,,Strategy,Information security policy,정보보안 및 개인정보 보호 정책은 무엇인가요?,Cong ty mo ta chinh sach bao mat thong tin va bao ve du lieu ca nhan nhu the nao?,long_text,,"","Khong duoc danh dong policy voi incident statistics",true,"Giu lai de dai dien info-sec policy",shortlist_draft
shortlist_qualitative,QL-011,qualitative,Environment,Environmental management,,Strategy,Environmental policy and goals,환경경영 정책 및 목표는 무엇인가요?,Cong ty mo ta chinh sach va muc tieu quan ly moi truong nhu the nao?,long_text,,"","Khong duoc tra loi bang mot KPI don le thay cho chinh sach va muc tieu",true,"Giu lai de dai dien environmental strategy",shortlist_draft
shortlist_qualitative,QL-012,qualitative,Environment,Environmental management,,Risk Management,Environmental risk management,환경 영향과 환경 리스크를 어떻게 평가하고 관리하나요?,Cong ty danh gia va quan ly tac dong moi truong cung rui ro moi truong nhu the nao?,long_text,,"","Khong duoc chi liet ke rui ro ma khong noi cach quan ly",true,"Giu lai de dai dien environmental risk management",shortlist_draft
shortlist_qualitative,QL-013,qualitative,Governance,Ethics management,,Governance,Ethics governance,윤리경영 조직 및 운영 체계는 어떻게 구성되어 있나요?,To chuc va co che van hanh quan tri dao duc duoc mo ta ra sao?,long_text,,"","Khong duoc rut gon thanh 'co bo phan phu trach' neu tai lieu noi ro co che van hanh",true,"Giu lai de dai dien ethics governance",shortlist_draft
shortlist_qualitative,QL-014,qualitative,Governance,Ethics management,,Risk Management,Ethics and compliance risk management,윤리 및 준법 리스크를 어떻게 예방하고 관리하나요?,Cong ty phong ngua va quan ly rui ro dao duc va tuan thu nhu the nao?,long_text,,"","Khong duoc dong nhat risk management voi case statistics",true,"Giu lai de dai dien compliance risk control",shortlist_draft
